seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
14	UK   	Alexandre Leblanc                   	 6	10	396	61.916	385	 88.045	370	 89.238	363	6.539	342	12.36	   	      	511973	331265	 245355
14	UK   	Jonathan Sorbo                      	 4	 4	497	53.181	470	 85.604	479	 86.413	487	5.799	458	11.93	448	 1.317	497643	331270	 143944
14	UK   	Ying-Ze Chen                        	 1	 5	514	51.090	512	 84.022	489	 86.106	540	5.359	457	11.94	   	      	490928	331268	 141686
14	UK   	Tate Sandman                        	 1	 4	554	47.850	556	 81.759	552	 83.573	510	5.601	544	11.43	   	      	561768	331274	 120745
14	UK   	Heman Nama                          	 2	 4	563	46.947	557	 81.639	548	 83.845	538	5.371	565	11.20	   	      	520896	331259	1630692
15	MISS 	Finn Reynolds                       	11	10	 41	95.750	 59	 95.488	 38	 96.516	 69	7.982	 56	13.31	 16	36.168	520891	331848	1332906
15	MISS 	Nikola Slavic                       	14	 7	 76	92.229	 91	 94.287	108	 94.369	 85	7.878	117	13.08	 29	24.242	513419	331849	 271469
15	MISS 	Tim Sandkaulen                      	14	16	 78	92.008	 96	 94.180	 82	 95.057	121	7.571	107	13.11	 32	22.951	448641	331248	  64506
15	MISS 	John Hallquist Lithen               	14	 8	152	84.749	118	 93.614	163	 93.092	112	7.647	152	12.93	252	 2.400	561866	331850	2095342
15	MISS 	Simon Junk                          	10	15	248	74.820	227	 91.285	250	 91.549	253	7.005	221	12.73	319	 1.991	485272	331501	 235501
15	MISS 	Lukas Engelhardt                    	 4	 8	336	67.200	287	 89.987	293	 90.592	339	6.605	294	12.53	   	      	513418	334139	 212729
15	MISS 	Jakob Cadonau                       	 3	 4	429	59.385	411	 87.297	409	 88.397	386	6.401	376	12.26	   	      	564436	331851	 275336
15	MISS 	Cotter Wilson                       	 3	 6	448	57.726	377	 88.131	368	 89.309	461	5.963	466	11.86	   	      	464055	331253	 947319
15	MISS 	Jan Soeren Hain                     	 1	 8	449	57.662	406	 87.431	418	 88.188	448	6.057	395	12.21	   	      	485280	331439	2502777
15	MISS 	Brady Draheim                       	 2	 7	464	56.398	443	 86.470	421	 88.105	464	5.960	402	12.19	   	      	561861	331232	  77425
16	ILL  	Aleksandar Kovacevic                	11	 1	  3	99.621	  1	100.000	  2	 99.943	  1	9.260	  3	13.97	131	 4.000	423252	332963	 919337
16	ILL  	Siphosothando Montsi                	16	 3	 38	95.909	 22	 97.254	 32	 96.774	 29	8.444	 51	13.33	110	 4.793	485650	332965	1887481
16	ILL  	Zeke Clark                          	20	 3	 62	93.629	 60	 95.463	 78	 95.126	 40	8.281	 59	13.30	 95	 6.429	397557	332966	1489870
16	ILL  	Noe Khlif                           	17	 2	134	86.478	124	 93.452	159	 93.159	 95	7.803	162	12.91	149	 3.593	421665	334145	2698933
16	ILL  	Hunter Heck                         	17	 6	171	82.564	145	 93.014	170	 92.938	124	7.558	202	12.80	261	 2.358	564624	332968	2560997
16	ILL  	Alex Brown                          	10	13	192	79.925	155	 92.878	127	 93.964	186	7.286	210	12.78	424	 1.473	393009	332964	 743551
16	ILL  	Alex Bancila                        	 4	 1	299	70.144	352	 88.761	317	 90.229	190	7.279	334	12.38	335	 1.916	497256	333378	  85738
16	ILL  	Nic Meister                         	 6	 2	313	68.846	376	 88.138	355	 89.595	215	7.181	437	12.06	234	 2.474	564623	357294	1198131
16	ILL  	Kweisi Kenyatte                     	 7	 8	331	67.567	354	 88.672	335	 89.974	323	6.687	236	12.70	397	 1.609	517923	332967	1608011
16	ILL  	Alexander Petrov                    	 2	 2	359	65.045	397	 87.736	412	 88.362	284	6.859	248	12.67	   	      	564625	357293	2037805
16	ILL  	Lucas Horve                         	 4	 4	422	59.952	385	 88.045	394	 88.666	359	6.555	427	12.09	443	 1.339	485647	333377	 901225
16	ILL  	Vuk Budic                           	 0	 3	524	50.219	610	 52.194	549	 83.823	440	6.081	458	11.93	   	      	393582	343000	1047024
R2	ARIZ 	Gustaf Strom                        	18	 4	 26	97.267	 11	 98.267	 44	 96.283	 25	8.482	 28	13.47	 45	17.401	564319	331855	2600324
R2	ARIZ 	Jonas Ziverts                       	11	 9	 69	93.138	 55	 95.582	 50	 96.108	 93	7.830	 70	13.26	 85	 7.581	497925	331853	  86273
R2	ARIZ 	Alejandro Requant-Bicardi           	16	 6	118	87.815	129	 93.347	100	 94.467	104	7.731	 89	13.19	225	 2.552	444974	331854	1905234
R2	ARIZ 	Filip Malbasic                      	15	11	151	84.764	156	 92.841	131	 93.793	141	7.488	110	13.10	259	 2.362	429133	331856	  86068
R2	ARIZ 	Herman Hoyeraal                     	 5	 2	182	81.075	149	 92.956	198	 92.443	113	7.621	289	12.56	252	 2.400	567637	331858	1861923
R2	ARIZ 	Carlos Hassey                       	15	 7	233	76.321	238	 91.105	231	 91.894	199	7.238	180	12.87	378	 1.702	414150	331857	1707449
R2	ARIZ 	Nick Lagaev                         	13	 5	253	74.444	286	 89.991	308	 90.399	235	7.087	232	12.71	227	 2.526	513924	331860	1228823
R2	ARIZ 	Hiroki Sakagawa                     	 3	 0	287	71.127	395	 87.750	384	 88.960	286	6.855	124	13.04	373	 1.714	513926	333376	1966130
R2	ARIZ 	Jett Middleton                      	 4	 0	379	63.451	369	 88.257	358	 89.561	   	     	309	12.47	269	 2.286	565303	      	  85690
R2	ARIZ 	Igor Karpovets                      	 2	 1	457	56.937	456	 86.187	434	 87.936	356	6.560	464	11.88	   	      	420669	331863	 158358
R2	ARIZ 	Conner Olsen                        	 2	 1	490	53.995	535	 83.432	565	 83.018	381	6.424	395	12.21	   	      	489600	331868	 112713
