seed	team	player	wins	losses	cmpRnk	cmp	trnRnk	trn	slamRnk	slam	masseyRnk	massey	utrRnk	utr	itaRnk	ita	r2Id	masseyId	utrId
16	CAL  	Julia Rosenqvist             	14	 8	 93	90.090	 84	 92.546	 77	 93.689	115	7.323	 51	10.60	252	 2.225	447001	337313	2558835
16	CAL  	Anna Bright                  	20	 4	133	86.549	122	 91.379	212	 90.450	101	7.454	 98	10.38	172	 2.789	392716	337319	  73705
16	CAL  	Valentina Ivanov             	11	 8	136	86.467	106	 91.744	104	 92.888	182	7.013	 78	10.43	290	 1.970	513643	337312	2137952
16	CAL  	Jada Bui                     	11	 7	187	81.215	167	 90.495	159	 91.547	186	7.001	160	10.17	296	 1.953	564962	337315	1551744
16	CAL  	Hannah Viller Moeller        	16	 8	195	80.107	172	 90.273	197	 90.824	171	7.064	160	10.17	336	 1.791	564963	337317	1971220
16	CAL  	Erin Richardson              	 3	 3	431	59.836	431	 82.661	441	 83.731	437	5.371	313	 9.49	   	      	513642	337321	 219057
16	CAL  	Cami Brown                   	 1	 2	463	57.031	437	 82.501	437	 83.846	   	     	360	 9.23	   	      	564964	      	 100772
R2	AUB  	Carolyn Ansari               	16	10	 72	92.224	 98	 92.099	 90	 93.122	 80	7.597	 62	10.53	 65	 7.965	514700	336753	 252050
R2	AUB  	Selin Ovunc                  	13	10	 79	91.931	 64	 93.117	 62	 94.314	114	7.330	135	10.27	 56	 9.632	514698	336735	1551752
R2	AUB  	Georgie Axon                 	23	 7	119	88.103	114	 91.534	141	 92.131	 81	7.587	 81	10.42	226	 2.431	387150	336731	 365692
R2	AUB  	Yu Chen                      	12	15	148	84.482	147	 90.800	124	 92.376	215	6.824	178	10.10	129	 3.535	497768	336733	1635589
R2	AUB  	Taylor Russo                 	12	 4	194	80.159	190	 89.795	222	 90.166	202	6.884	193	10.05	187	 2.710	447736	336741	1970275
R2	AUB  	Adeline Flach                	15	11	301	69.703	273	 87.618	295	 88.315	283	6.422	285	 9.65	393	 1.496	561548	336934	 100267
R2	AUB  	Shir Azran                   	 2	 7	386	63.730	357	 85.515	354	 87.072	391	5.724	316	 9.48	   	      	561547	336739	  55431
R2	AUB  	Anastasia Astakhova          	 2	 6	418	61.219	380	 84.841	393	 86.021	407	5.606	359	 9.24	   	      	561546	340826	1307511
R2	AZST 	Ilze Hattingh                	12	 7	 68	92.475	 58	 93.418	 44	 94.938	102	7.446	127	10.29	 73	 6.860	414211	337025	  28184
R2	AZST 	Lauryn John-Baptiste         	11	 6	142	85.523	121	 91.381	120	 92.540	164	7.113	150	10.20	178	 2.779	419134	337637	2557956
