line	seed	team	kind	position	player	partner	wins1	losses1	wins2	losses2	wins3	losses3	wins4	losses4	wins5	losses5	wins6	losses6	dualWins	dualLosses	overallWins	overallLosses
52		AZST 	S	7	Spencer Brachman         	                         									0	1	1	0	1	1	1	1
52		AZST 	S	8	Jonah Wilson             	                         									2	0	1	2	3	2	3	2
52		AZST 	S	9	Moritz Hoffmann          	                         									1	2			1	2	1	2
52		AZST 	D	1	Makey Rakotomalala       	Tim Ruehl                	1	2	5	2									6	4	6	4
52		AZST 	D	2	Max McKennon             	Nathan Ponwith           	1	1	4	1									5	2	5	2
52		AZST 	D	3	Christian Lerby          	George Stoupe            					3	1							3	1	3	1
52		AZST 	D	4	Moritz Hoffmann          	Jonah Wilson             					1	1							1	1	1	1
61		BAMA 	S	1	Edson Ortiz              	                         	5	5	5	3	2	2							12	10	13	12
61		BAMA 	S	2	Patrick Kaukovalta       	                         	4	3	3	2	2	6							9	11	15	17
61		BAMA 	S	3	Zhe Zhou                 	                         	2	6	4	2	3	1							9	9	15	15
61		BAMA 	S	4	Riccardo Roberto         	                         			0	1			5	7	6	0			11	8	19	12
61		BAMA 	S	5	Gabriel Diaz Freire      	                         			2	0	2	1	2	4	3	1	1	0	10	6	15	10
61		BAMA 	S	6	Alexey Nesterov          	                         							2	0	2	0	3	6	7	6	12	10
61		BAMA 	S	7	Jeremy Gschwendtner      	                         					1	0	2	0	4	3	4	1	11	4	20	7
61		BAMA 	S	8	Marcelo Sepulveda Garza  	                         											1	0	1	0	5	7
61		BAMA 	S	9	Rudi Christiansen        	                         									1	0	3	0	4	0	6	1
61		BAMA 	S	10	Vincent Rettke           	                         					1	1	1	0	1	1	1	2	4	4	13	7
61		BAMA 	S	11	Sam Fischer              	                         													0	0	2	4
61		BAMA 	S	12	Avi Shugar               	                         											1	0	1	0	4	4
