seed	team	player	wins	losses	r2Id	masseyId	utrId	notes	drawLine	line
R2	TTU  	Margarita Skriabina          	18	 2	515922	337012	1880726	  		  
R2	TTU  	Metka Komac                  	12	 6	564407	337013	 276743	  		  
R2	TTU  	Nell Miller                  	18	11	485226	336806	1033847	  		  
R2	TTU  	Olivia Mikkelson             	 3	 1	561653	      	2690672	  		  
R2	TTU  	Olivia Peet                  	12	 7	485229	337014	 219031	  		  
R2	UK   	Akvilė Paražinskaitė         	20	11	439682	336783	1885635	AL		58
R2	UK   	Ana Tkachenko                	 2	 4	491996	336769	1356863	  		  
R2	UK   	Carla Girbau                 	12	15	511331	336785	2095865	  		  
R2	UK   	Carlota Molina Megias        	13	13	511330	336759	 199156	  		  
R2	UK   	Diana Tkachenko              	 1	 0	457873	337976	 364491	  		  
R2	UK   	Elizabeth Stevens            	 6	15	561996	336761	  96667	  		  
R2	UK   	Fiona Arrese                 	11	10	561993	336946	2659649	  		  
R2	UK   	Lesedi Jacobs                	13	 8	418303	336771	  53800	  		  
R2	UK   	Maialen Morante              	 9	 7	511332	336767	1949540	  		  
R2	UK   	Salsa Aher                   	 9	 3	561992	336787	 260998	  		  
R2	VANDY	Amanda Meyer                 	 8	 5	432850	336732	  77500	  		  
R2	VANDY	Anessa Lee                   	17	 8	561902	336734	1478359	  		  
R2	VANDY	Anna Ross                    	 8	11	511683	337209	2154335	  		  
R2	VANDY	Christina Rosca              	14	 5	446912	337211	  39371	AL		16
R2	VANDY	Dasha Kourkina               	 5	 4	511685	336838	  96584	  		  
R2	VANDY	Emma Kurtz                   	11	17	424044	336736	  77397	  		  
R2	VANDY	Holly Staff                  	14	13	561901	336740	 246701	  		  
R2	VANDY	Marcella Cruz                	16	10	511682	336738	2492659	  		  
R2	WAKE 	Anna Brylin                  	15	 8	485841	337234	  77545	  		  
R2	WAKE 	Anna Campana                 	 6	12	509929	337232	1618799	AL		33
R2	WAKE 	Brooke Killingsworth         	 8	16	563737	337233	 126005	  		  
R2	WAKE 	Carolyn Campana              	 9	 6	509935	339199	  66827	AL		 5
R2	WAKE 	Casie Wooten                 	13	 8	563738	337236	2295843	  		  
R2	WAKE 	Eliza Omirou                 	10	10	438453	338715	  79773	  		  
R2	WAKE 	Madeleine Lynch              	 2	 1	509930	337237	2092343	  		  
R2	WAKE 	Maryam Ahmad                 	 1	 1	563739	      	1620314	  		  
R2	WAKE 	Peyton Pesavento             	 4	 6	485842	337235	1617595	  		  
R3	ARK  	Claire Slaughter             	 3	 7	511738	336639	 104519	  		  
R3	ARK  	Indianna Spink               	15	 8	561985	336670	 273305	AL		45
R3	ARK  	Jackie Carr                  	 5	 6	395394	336631	1885695	  		  
R3	ARK  	Kelly Keller                 	12	10	511740	336665	2521764	  		  
R3	ARK  	Laura Rijkers                	 8	 8	497875	337645	1313617	  		  
R3	ARK  	Lauren Alter                 	11	14	489375	336649	 197547	  		  
R3	ARK  	Martina Zerulo               	 4	 1	466140	336808	2608080	  		  
R3	ARK  	Morgan Cross                 	14	14	561986	336634	 246658	  		  
R3	ARK  	Presley Southerland          	 3	 5	561987	336637	 996005	  		  
R3	ARK  	Tatum Rice                   	12	12	445260	336642	  76928	  		  
R3	BALL 	Amy Kaplan                   	12	 8	514947	337606	 116559	  		  
R3	BALL 	Emily Desai                  	 2	 1	521590	337836	 212196	  		  
R3	BALL 	Emma Peeler                  	11	11	514948	337600	  97462	  		  
R3	BALL 	Jessica Braun                	14	 8	514946	337604	  98429	  		  
R3	BALL 	Livia Lukacs                 	10	 3	489687	337610	 226677	  		  
R3	BALL 	Mariya Polishchuk            	15	 7	565605	337602	 273146	  		  
R3	BALL 	Martini Bocchi               	 1	 0	565602	      	 365694	  		  
R3	BALL 	Rebecca Herrington           	15	 6	415306	337608	  83231	  		  
R3	BALL 	Silvia Martinez              	14	 3	565604	339532	2096107	  		  
R3	BALL 	Victoria Sec                 	 2	 0	450373	340420	  77522	  		  
R3	BAMA 	Alba Cortina-Pou             	15	 7	398952	336777	 980252	  		  
R3	BAMA 	Anna Parkhomenko             	15	11	561871	336766	 277793	  		  
R3	BAMA 	Anne Marie Hiser             	18	10	561867	336760	2104183	  		  
R3	BAMA 	Isabella Harvison            	 5	 3	510588	336757	  95716	  		  
R3	BAMA 	Loudmilla Bencheikh          	 2	 5	568475	340840	 199900	  		  
R3	BAMA 	Moka Ito                     	 7	18	490181	336774	1477058	  		  
R3	BAMA 	Sasha Gorchanyuk             	 8	17	521223	336780	1886616	  		  
R3	BAMA 	Sydney Orefice               	 2	 5	561870	336788	 126060	  		  
R3	BAMA 	Sydney Riley                 	13	13	561872	336770	  52094	  		  
R3	BAMA 	Vanesa Nikolovova            	 4	 4	561869	336763	 208968	  		  
R3	FIU  	Andjela Skrobonja            	10	 2	564568	338071	 244730	  		  
R3	FIU  	Andreea Velcea               	 9	 3	564569	338072	 243044	  		  
R3	FIU  	Basak Akbas                  	 5	 5	493856	338066	  94575	  		  
R3	FIU  	Francisca Vergara            	 1	 2	511964	338075	 191789	  		  
